"species","commonname"
"Lysiloma sabicu",""
"Lysiloma tergeminum","Chauinga, Pata de venado, Pata de cabra, Palo blanco, Papalote, palo blanco, palomita, pata de cabra, pata de venado, tepeguaje; palo blanco, palomita, pata de cabra, pata de venado, tepeguaje; palo de ángel, palo blanco, palomita, pata de cabra, pata de venado, tepeguaje"
"Lysiloma watsonii","Tepehuaje, Tepeguaje; mauto; tepeguaje"
"Lysiphyllum carronii","Ebony Tree"
"Lysiphyllum cunninghamii","Bean Tree"
"Lysiphyllum gilvum","Wild Bauhinia Tree"
"Lysiphyllum hookeri","Queensland Ebony"
"Maackia amurensis","maackia; 다릅나무; Маакия амурская; イヌエンジュ; Amur maackia; Da-reup-na-mu"
"Maackia australis",""
"Maackia floribunda","솔비나무; ハネミイヌエンジュ"
"Maackia hupehensis",""
"Maackia hwashanensis",""
"Maackia taiwanensis",""
"Maackia tashiroi","シマエンジュ"
"Maackia tenuifolia",""
"Maasia glauca",""
"Maasia hypoleuca","Tepis"
"Maasia ovalifolia",""
"Maasia sumatrana",""
"Mabea anadena",""
"Mabea angularis",""
"Mabea angustifolia",""
"Mabea anomala",""
"Mabea arenicola",""
"Mabea caudata",""
"Mabea elata",""
"Mabea elegans",""
"Mabea excelsa","U'tzon ché, lechero"
"Mabea fistulifera",""
"Mabea frutescens",""
"Mabea glaziovii",""
"Mabea jefensis",""
"Mabea klugii",""
"Mabea longibracteata",""
"Mabea macbridei",""
"Mabea macrocalyx",""
"Mabea montana","Lengua e' venado"
"Mabea nitida","Reventillo; Canilla venado; Huesito"
"Mabea occidentalis","Pie de gallina; Bolenillo | Crespo | Lengua de venado | Cenizo; Mare blanco; Escobito; Molinillo"
"Mabea ovata",""
"Mabea paniculata",""
"Mabea piriri","Molinillo"
"Mabea pohliana",""
"Mabea pulcherrima","medi-a-sho-sho (Trio) baska-tité (Sranan)"
"Mabea rubicunda",""
"Mabea salicoides",""
"Mabea speciosa",""
"Mabea standleyi",""
"Mabea subserrulata",""
"Mabea subsessilis","Cacho venado, palo batidor."
"Mabea taquari","mëri asoso (Trio)"
"Mabea tenorioi",""
"Mabea trianae","Canillo; Canilla de Venado; Canilla de venado; Quince días; Canillevenao"
"Maburea trinervis",""
"Macadamia integrifolia","Macadamia Nut"
"Macadamia jansenii","Bulburin Nut Tree"
"Macadamia ternifolia","Bopple Nut; Nogueira-da-Austrália"
"Macadamia tetraphylla","Rough-shelled Bush Nut"
"Macairea chimantensis",""
"Macairea cuieirasii",""
"Macairea pachyphylla",""
"Macairea radula",""
"Macairea rigida",""
"Macairea stylosa",""
"Macairea sulcata",""
"Macairea theresiae",""
"Macairea thyrsiflora",""
"Macaranga aenigmatica",""
"Macaranga aetheadenia",""
"Macaranga albescens",""
"Macaranga alchorneoides",""
"Macaranga aleuritoides",""
"Macaranga allorobinsonii",""
"Macaranga alnifolia","Mokaranana; Mokaranandahy"
"Macaranga amentifera",""
"Macaranga amissa",""
"Macaranga amplifolia",""
"Macaranga anceps",""
"Macaranga andamanica","Макаранга"
"Macaranga angolensis",""
"Macaranga angulata",""
"Macaranga angustifolia",""
"Macaranga assas",""
"Macaranga attenuata",""
"Macaranga auctoris",""
"Macaranga baccaureifolia",""
"Macaranga bancana",""
"Macaranga barkeriana",""
"Macaranga barteri","African tree nut; Echemey [Babungu]; Ass [fang]; Assas 1 [Forestry name Gabon]"
"Macaranga beccariana",""
"Macaranga beillei",""
"Macaranga belensis",""
"Macaranga bicolor",""
"Macaranga bifoveata",""
"Macaranga boutonioides",""
"Macaranga brachytricha",""
"Macaranga brevipetiolata",""
"Macaranga brunneofloccosa",""
"Macaranga caladiifolia",""
"Macaranga calcicola",""
"Macaranga capensis","Ndundu (Matengo)"
"Macaranga carolinensis",""
"Macaranga carrii",""
"Macaranga caudata",""
"Macaranga caudatifolia",""
"Macaranga chlorolepis",""
"Macaranga chrysotricha",""
"Macaranga clavata",""
"Macaranga clemensiae",""
"Macaranga coggygria",""
"Macaranga congestiflora",""
"Macaranga conglomerata","Mkumba(sambaa); Kumba(Sambaa); Pofwe(Fipa); Msusu (Sambaa)"
"Macaranga conifera",""
"Macaranga constricta",""
"Macaranga coriacea",""
"Macaranga corymbosa",""
"Macaranga costulata",""
"Macaranga cucullata",""
"Macaranga cumingii",""
"Macaranga cuspidata",""
"Macaranga dallachyana",""
"Macaranga darbyshirei",""
"Macaranga daviesii",""
"Macaranga decipiens",""
"Macaranga densiflora",""
"Macaranga denticulata",""
"Macaranga depressa",""
"Macaranga dibeleensis",""
"Macaranga diepenhorstii",""
"Macaranga dioica",""
"Macaranga domatiosa",""
"Macaranga ducis",""
"Macaranga echinocarpa",""
"Macaranga endertii",""
"Macaranga eymae",""
"Macaranga faiketo",""
"Macaranga fallacina",""
"Macaranga ferruginea",""
"Macaranga fragrans",""
"Macaranga galorei",""
"Macaranga gigantea","Merkubung"
"Macaranga glaberrima",""
"Macaranga glandibracteolata",""
"Macaranga gracilis",""
"Macaranga graeffeana",""
"Macaranga grallata",""
"Macaranga grandifolia",""
"Macaranga griffithiana",""
"Macaranga hartleyana",""
"Macaranga harveyana",""
"Macaranga havilandii",""
"Macaranga hengkyana",""
"Macaranga henryi",""
"Macaranga heterophylla",""
"Macaranga heudelotii",""
"Macaranga heynei",""
"Macaranga hispida",""
"Macaranga hosei",""
"Macaranga huahineensis",""
"Macaranga hullettii",""
"Macaranga hurifolia","dakolégui [toma]"
"Macaranga hypoleuca",""
"Macaranga hystrichogyne",""
"Macaranga inamoena","Buff Macaranga"
"Macaranga indica",""
"Macaranga indistincta",""
"Macaranga induta",""
"Macaranga inermis",""
"Macaranga intonsa",""
"Macaranga involucrata","Macaranga"
"Macaranga javanica",""
"Macaranga johannium",""
"Macaranga kinabaluensis",""
"Macaranga kingii",""
"Macaranga kostermansii",""
"Macaranga kurzii",""
"Macaranga laciniata",""
"Macaranga lamellata",""
"Macaranga lanceolata",""
"Macaranga leytensis",""
"Macaranga lineata",""
"Macaranga longicaudata",""
"Macaranga longipetiolata",""
"Macaranga louisiadum",""
"Macaranga lowii",""
"Macaranga macropoda",""
"Macaranga magna",""
"Macaranga magnifolia",""
"Macaranga mappa",""
"Macaranga mauritiana",""
"Macaranga megacarpa",""
"Macaranga melanosticta",""
"Macaranga mellifera",""
"Macaranga minahassae",""
"Macaranga monandra","Bêgbê; Blêblê; Bêgbêg; Begbe; Be?gbe?; essiè [Zime]; Mushakwanyoni; usakuranoni(Haya)"
"Macaranga motleyana",""
"Macaranga myriolepida",""
"Macaranga neobritannica",""
"Macaranga noblei",""
"Macaranga novoguineensis",""
"Macaranga nusatenggarensis",""
"Macaranga oblongifolia",""
"Macaranga obovata",""
"Macaranga occidentalis",""
"Macaranga pachyphylla",""
"Macaranga palustris",""
"Macaranga papuana",""
"Macaranga parabicolor",""
"Macaranga paxii",""
"Macaranga pearsonii",""
"Macaranga peltata",""
"Macaranga pepysiana",""
"Macaranga perrieri",""
"Macaranga petanostyla",""
"Macaranga pilosula",""
"Macaranga platyclada",""
"Macaranga pleioneura",""
"Macaranga pleiostemon",""
"Macaranga poggei",""
"Macaranga polyadenia",""
"Macaranga praestans",""
"Macaranga pruinosa","Garung | mahan putih"
"Macaranga puberula",""
"Macaranga punctata",""
"Macaranga puncticulata",""
"Macaranga quadriglandulosa",""
"Macaranga racemohispida",""
"Macaranga racemosa",""
"Macaranga raivavaeensis",""
"Macaranga rarispina",""
"Macaranga recurvata",""
"Macaranga reiteriana",""
"Macaranga repandodentata",""
"Macaranga rhizinoides",""
"Macaranga rorokae",""
"Macaranga rostrata",""
"Macaranga rufibarbis",""
"Macaranga saccifera",""
"Macaranga salomonensis",""
"Macaranga sampsonii",""
"Macaranga schweinfurthii","kol essiè [Zime]"
"Macaranga seemannii",""
"Macaranga serratifolia",""
"Macaranga siamensis",""
"Macaranga similis",""
"Macaranga sinensis",""
"Macaranga sphaerophylla","Mokaranana; Telefoitra"
"Macaranga spinosa","Munjembe [Babungu]; Lasass [fang]; Munuyahedi [Babungu]; Motsesende [Nzebi]"
"Macaranga staudtii","Assas 2 [Forestry name Gabon]"
"Macaranga stonei",""
"Macaranga strigosa",""
"Macaranga strigosissima",""
"Macaranga subdentata","Needlebark"
"Macaranga subpeltata",""
"Macaranga suleensis",""
"Macaranga sumatrana",""
"Macaranga suwo",""
"Macaranga taitensis",""
"Macaranga tanarius","Macaranga; David's heart"
"Macaranga tentaculata",""
"Macaranga tessellata",""
"Macaranga thompsonii",""
"Macaranga trachyphylla",""
"Macaranga trichanthera",""
"Macaranga trichocarpa",""
"Macaranga triloba",""
"Macaranga truncata",""
"Macaranga tsonane",""
"Macaranga umbrosa",""
"Macaranga vedeliana",""
"Macaranga velutiniflora",""
"Macaranga venosa",""
"Macaranga vermoesenii",""
"Macaranga versteeghii",""
"Macaranga vieillardii",""
"Macaranga villosula",""
"Macaranga vitiensis",""
"Macaranga warburgiana",""
"Macaranga waturandangii",""
"Macaranga winkleri",""
"Macaranga yakasii",""
"Macarisia humbertiana",""
"Macarisia lanceolata",""
"Macarisia pyramidata",""
"Macbrideina peruviana",""
"Machaerium acutifolium",""
"Machaerium altiscandens",""
"Machaerium amazonense",""
"Machaerium arboreum","chapulín, granadillo; Cucacharo | látigo; Cuero marrano; Látigo; Machetico | Látigo; Meaparado; Purgacion | Arrayan blanco; látigo; machetico"
"Machaerium aristulatum",""
"Machaerium biovulatum","Rabo de iguana, Zarza prieta, Cincho, Vainillo, Palo de zarza, chapulín, zarza prieta; Uña de gato; Rabo Iguano; Siete cueros; Cabellos de angel; Colmillo de zaino; Leguminosae Espinas; Legumisoae Con Espinas; Siete Cueros; Tallo Espinas Rutaceae O Leguminosae; Sietecueros; Sietecueros | Rabo de Iguana; Cachimbito | Cascaron | Siete cueros | Hueso de pescado | Siete capas | Siete conchas | Siete cueros | Sietecueros | Vaina aspa | Vaina espa | Vaine faz | Vainespa; Salt Fish Wood; chapulín, zarza prieta"
"Machaerium bondaense","Bejuco ahorca vaca"
"Machaerium brasiliense",""
"Machaerium cantarellianum",""
"Machaerium capote","Capote; Ame; Capote | capote | siete cueros | siete capas; Siete capas; Siete cueros; Cuchillito; Siete cueros | Capote | Carbon | Sietecueros | Chucunda | Dinde | Seven Bark | Siete cueros | Ziete cuero"
"Machaerium caratinganum",""
"Machaerium chiapense","Jit'itul, Chilillo mapache"
"Machaerium conzattii",""
"Machaerium dubium",""
"Machaerium eriocarpum",""
"Machaerium ferox",""
"Machaerium firmum",""
"Machaerium floribundum","Sangre de cristo, Xan toot aky, Nano de galapago, Mano de galápago; Moradillo"
"Machaerium floridum",""
"Machaerium fulvovenosum",""
"Machaerium goudotii","Carbonero; Casco puerco"
"Machaerium guanaiense",""
"Machaerium guaremalense",""
"Machaerium hatschbachii",""
"Machaerium hirtum","Zarza; Bico-de-pato"
"Machaerium humboldtianum",""
"Machaerium incorruptibile",""
"Machaerium inundatum","Jovillo de la orilla"
"Machaerium isadelphum","Sangregao, Uña de perro, Uña de gato, Nypin cuy; Rasguña gato; uña de gato; Zarza | Bejuco sangre | Pico de loro; Trepadora"
"Machaerium kegelii","Lo kin, espinosa; Ubojo cansi ak', Una de gavilán, Bejuco de sangre, espinosa; espinosa"
"Machaerium latialatum",""
"Machaerium latifolium",""
"Machaerium legale",""
"Machaerium leiophyllum","Bejuco rojo | Bejuco siete capas"
"Machaerium leucopterum",""
"Machaerium lunatum","asparrago"
"Machaerium macaense",""
"Machaerium macrophyllum",""
"Machaerium madeirense",""
"Machaerium millei",""
"Machaerium moritzianum","Sietecueros | Cucharita"
"Machaerium mucronulatum",""
"Machaerium multifoliolatum",""
"Machaerium mutisii","Laurel | siete cueros"
"Machaerium myrianthum",""
"Machaerium nicaraguense",""
"Machaerium nigrum",""
"Machaerium nyctitans",""
"Machaerium obovatum",""
"Machaerium opacum",""
"Machaerium ovalifolium",""
"Machaerium paraense",""
"Machaerium pedicellatum",""
"Machaerium punctatum",""
"Machaerium quinata",""
"Machaerium robsonianum",""
"Machaerium ruddianum",""
"Machaerium salzmannii",""
"Machaerium scleroxylon",""
"Machaerium seemannii","tamarindo; Latigo | Balsamo"
"Machaerium stipitatum",""
"Machaerium striatum",""
"Machaerium tortipes",""
"Machaerium tovarense",""
"Machaerium villosum",""
"Machaonia acuminata","Cacho de venado"
"Machaonia brasiliensis",""
"Machaonia erythrocarpa",""
"Machaonia grandis",""
"Machaonia lindeniana","K'u'ch'eel, K´uch´el', k'an pok'ool che' (Maya), k'uch'eel (Maya), k'uk'ch'el (Maya), kampokolché (Maya), kopche (Maya), tank'an che' (Maya); kuchel, k'an pok'ool che' (Maya), k'uch'eel (Maya), k'uk'ch'el (Maya), kampokolché (Maya), kopche (Maya), tank'an che' (Maya)"
"Machaonia martinicensis",""
"Machaonia microphylla",""
"Machaonia ottonis",""
"Machaonia portoricensis",""
"Machilus austroguizhouensis",""
"Machilus balansae",""
"Machilus bokorensis",""
"Machilus bonii",""
"Machilus boninensis",""
"Machilus breviflora",""
"Machilus calcicola",""
"Machilus cavaleriei",""
"Machilus chayuensis",""
"Machilus chekiangensis",""
"Machilus chienkweiensis",""
"Machilus chinensis",""
"Machilus chrysotricha",""
"Machilus chuanchienensis",""
"Machilus cicatricosa",""
"Machilus cochinchinensis",""
"Machilus coriacea",""
"Machilus curranii",""
"Machilus daozhenensis",""
"Machilus decursinervis",""
"Machilus dinganensis",""
"Machilus dumicola",""
"Machilus duthiei",""
"Machilus fasciculata",""
"Machilus foonchewii",""
"Machilus forrestii",""
"Machilus fruticosa",""
"Machilus glabrophylla",""
"Machilus glaucescens",""
"Machilus glaucifolia",""
"Machilus gongshanensis",""
"Machilus gracillima",""
"Machilus grandibracteata",""
"Machilus grijsii",""
"Machilus japonica","센달나무; 센달나무, 센달나무; ホソバタブ"
"Machilus kingii",""
"Machilus kobu","コブガシ"
"Machilus kurzii",""
"Machilus kwangtungensis",""
"Machilus lenticellata",""
"Machilus leptophylla",""
"Machilus lichuanensis",""
"Machilus litseifolia",""
"Machilus lohuiensis",""
"Machilus melanophylla",""
"Machilus miaoshanensis",""
"Machilus microcarpa",""
"Machilus microphylla",""
"Machilus minkweiensis",""
"Machilus minutiflora",""
"Machilus montana",""
"Machilus monticola",""
"Machilus multinervia",""
"Machilus nanchuanensis",""
"Machilus nanmu",""
"Machilus obovatifolia",""
"Machilus obscurinervis",""
"Machilus oculodracontis",""
"Machilus odoratissimus",""
"Machilus oreophila",""
"Machilus pauhoi",""
"Machilus phoenicis",""
"Machilus platycarpa",""
"Machilus pomifera",""
"Machilus pseudokobu","タブガシ"
"Machilus pyramidalis",""
"Machilus rehderi",""
"Machilus rufipes",""
"Machilus salicina",""
"Machilus shweliensis",""
"Machilus sichourensis",""
"Machilus sichuanensis",""
"Machilus submultinervia",""
"Machilus tenuipilis",""
"Machilus thunbergii","후박나무; 육박나무; タブノキ"
"Machilus velutina",""
"Machilus verruculosa",""
"Machilus versicolora",""
"Machilus viridis",""
"Machilus wangchiana",""
"Machilus wenshanensis",""
"Machilus yunnanensis",""
"Machilus zuihoensis",""
"Mackaya bella",""
"Mackinlaya celebica",""
"Macleania loeseneriana",""
"Macleania rupestris","Chaquilulo; Chakilulo; Uva Camarona; Coronillo, Camarero; Azalea, brezo; Uva camarona; Camarero | Camarona | Chaquilulo | Comadera | Manzanita | Uva | Uva camarona | Uva de Monte | Uva silvestre | Uvito | Uvo | Uvo camarón | Uva de Páramo; uvo; uva camarona; hojas de buey; Romero de páramo; Jucua; cardita; Frailejon blanco; Reventadera; Chusque; Retamo espinoso; Caminadera; Guardarocio; Paja de páramo; Corinto; tuno; Encenillo peludo; Tuno 3; Angelito; Ericacea; gateadera; Amargoso; Romero de páramo2; Tagua; Frailejon arboreo"
"Maclura africana","Pumbulo; Mdhahabu (Digo); Kilemamambala (hehe); Mnondolo(gogo)"
"Maclura brasiliensis",""
"Maclura pomifera","Osage-orange; Маклюра яблоконосная; Asage or Wild Orange; Osage Orange; Osage orange; osage orange"
"Maclura tinctoria","chak oox (Maya), chak ox (Maya), chichictli (Totonaco), chichiti (Totonaco), k' aank' ilis che (Maya), kanklisché (Maya), lun-da-e-quec (Chontal de Oaxaca), lunda-e quec (Chontal de Oaxaca), mora, mora amarilla, mora de clavo, mora lisa, moradilla, moral, moral amarillo, moral de clavo, moral liso, moras (Náhuatl), morita, palo amarillo, palo de mora, palo mora, palo moral, tsitsil (Huasteco), tzitzi (Huasteco), tzitzil (Huasteco), ya-hui (Zapoteco), yaga-huil (Zapoteco); Mora; Xora, Tsitsiy, Chak ox, Fustic, Moras, Moral, Moraz, Mara, Mora amarilla, Mora, Palo moro, Paul-leite, chak oox (Maya), chak ox (Maya), chichictli (Totonaco), chichiti (Totonaco), k' aank' ilis che (Maya), kanklisché (Maya), lun-da-e-quec (Chontal de Oaxaca), lunda-e quec (Chontal de Oaxaca), mora, mora amarilla, mora de clavo, mora lisa, moradilla, moral, moral amarillo, moral de clavo, moral liso, moras (Náhuatl), morita, palo amarillo, palo de mora, palo mora, palo moral, tsitsil (Huasteco), tzitzi (Huasteco), tzitzil (Huasteco), ya-hui (Zapoteco), yaga-huil (Zapoteco); Tsitsiy, Moro, Mara, Lechemaría, Moral, Murral, Mora, chak oox (Maya), chak ox (Maya), chichictli (Totonaco), chichiti (Totonaco), k' aank' ilis che (Maya), kanklisché (Maya), lun-da-e-quec (Chontal de Oaxaca), lunda-e quec (Chontal de Oaxaca), mora, mora amarilla, mora de clavo, mora lisa, moradilla, moral, moral amarillo, moral de clavo, moral liso, moras (Náhuatl), morita, palo amarillo, palo de mora, palo mora, palo moral, tsitsil (Huasteco), tzitzi (Huasteco), tzitzil (Huasteco), ya-hui (Zapoteco), yaga-huil (Zapoteco); Dinde; Dinde | mora | moral | morón; Pino mora; ya-hui, yaga-huil, palo de mora, tsitsil, k' aank' ilis che, mora de clavo, tzitzig, lunda-e quec, kanklisché, chichictli, chak ox, palo moral, palo mora, palo amarillo, moras, mora, lun-da-e-quec, moradilla, morita, mora amarilla, mora lisa, moral, moral amarillo, moral de clavo, moral liso, tzitzil, tzitzi, chichiti, chijchijtli, fustic, chak oox (Maya), chak ox (Maya), chichictli (Totonaco), chichiti (Totonaco), k' aank' ilis che (Maya), kanklisché (Maya), lun-da-e-quec (Chontal de Oaxaca), lunda-e quec (Chontal de Oaxaca), mora, mora amarilla, mora de clavo, mora lisa, moradilla, moral, moral amarillo, moral de clavo, moral liso, moras (Náhuatl), morita, palo amarillo, palo de mora, palo mora, palo moral, tsitsil (Huasteco), tzitzi (Huasteco), tzitzil (Huasteco), ya-hui (Zapoteco), yaga-huil (Zapoteco); Mora, Dinde; Fustic; Abinge; Dindo | moral | palo mora; Dinde | Mora | Insira; Avinje | dinde | mora; Maclura tinctoria; mora; Bois dOrange, Dinde, Fustic Tree, Palo Naranjo; chak ox (moora), chak oox (Maya), chak ox (Maya), chichictli (Totonaco), chichiti (Totonaco), k' aank' ilis che (Maya), kanklisché (Maya), lun-da-e-quec (Chontal de Oaxaca), lunda-e quec (Chontal de Oaxaca), mora, mora amarilla, mora de clavo, mora lisa, moradilla, moral, moral amarillo, moral de clavo, moral liso, moras (Náhuatl), morita, palo amarillo, palo de mora, palo mora, palo moral, tsitsil (Huasteco), tzitzi (Huasteco), tzitzil (Huasteco), ya-hui (Zapoteco), yaga-huil (Zapoteco); Mangium; leche María, mora, chak oox (Maya), chak ox (Maya), chichictli (Totonaco), chichiti (Totonaco), k' aank' ilis che (Maya), kanklisché (Maya), lun-da-e-quec (Chontal de Oaxaca), lunda-e quec (Chontal de Oaxaca), mora, mora amarilla, mora de clavo, mora lisa, moradilla, moral, moral amarillo, moral de clavo, moral liso, moras (Náhuatl), morita, palo amarillo, palo de mora, palo mora, palo moral, tsitsil (Huasteco), tzitzi (Huasteco), tzitzil (Huasteco), ya-hui (Zapoteco), yaga-huil (Zapoteco)"
"Maclura tricuspidata","Chinese silkworm thorn; 꾸지뽕나무; 꾸지뽕나무, 꾸지뽕나무; ハリグワ"
"Maclurodendron magnificum",""
"Maclurodendron oligophlebium",""
"Maclurodendron porteri",""
"Maclurodendron pubescens",""
"Macoubea guianensis",""
"Macoubea mesoamericana",""
"Macoubea sprucei","Lechoso | ukurai"
"Macphersonia chapelieri",""
"Macphersonia gracilis",""
"Macphersonia madagascariensis",""
"Macphersonia radlkoferi",""
"Macrocarpaea atlantica",""
"Macrocarpaea auriculata",""
"Macrocarpaea bangiana",""
"Macrocarpaea cinchonifolia",""
"Macrocarpaea cochabambensis",""
"Macrocarpaea dolichophylla",""
"Macrocarpaea fuentesii",""
"Macrocarpaea gattaca",""
"Macrocarpaea glaziovii",""
"Macrocarpaea harlingii",""
"Macrocarpaea jalca",""
"Macrocarpaea kuelap",""
"Macrocarpaea macrophylla","Tabaquillo; Talaquillo de monte"
"Macrocarpaea maguirei",""
"Macrocarpaea revoluta",""
"Macrocarpaea robin-fosteri",""
"Macrocarpaea rugosa",""
"Macrocarpaea tabula-fluctivagifolia",""
"Macrocarpaea viscosa",""
"Macrocarpaea wallnoeferi",""
"Macrocarpaea weaveri",""
"Macrocarpaea weigendiorum",""
"Macrocarpaea zophoflora",""
"Macrocnemum grandiflorum","Sin nombre comun"
"Macrocnemum humboldtianum",""
"Macrocnemum jamaicense",""
"Macrocnemum roseum","Shamoja, Yana mecha, cañum caspi, Aceite maría, Acecha; Shamoja | Sacha shamojita | Remo caspi negro | Shanoja | Cascajero"
"Macrocnemum tortuosum",""
"Macrohasseltia macroterantha",""
"Macrolearia angustifolia","teteaweka | muttonbird scrub"
"Macrolearia chathamica",""
"Macrolearia colensoi","Kūmarahou"
"Macrolearia lyallii",""
"Macrolearia oporina","keketerehe | teteaweka | tupare; Keketerehe"
"Macrolearia semidentata","Hangatare | Makora; Chatham Island Aster"
"Macrolobium acaciifolium","Dormidera | Arepito | a - na - der\\ | Barapana | Guarago | Cinco centavos"
"Macrolobium acrothamnos",""
"Macrolobium angustifolium","Macuri negro | va | vo - ko -\\dzo"
"Macrolobium anomalum",""
"Macrolobium archeri","Juan congo"
"Macrolobium arenarium",""
"Macrolobium bifolium",""
"Macrolobium brevense",""
"Macrolobium campestre",""
"Macrolobium canaliculatum",""
"Macrolobium cataractarum",""
"Macrolobium cidii",""
"Macrolobium colombianum","Cuero de Marrano; Guamillo | encenillo | cuero de marrano |; Cueromarrano"
"Macrolobium costaricense",""
"Macrolobium cowanii",""
"Macrolobium defloccatum",""
"Macrolobium discolor","Yenecke"
"Macrolobium dressleri",""
"Macrolobium duckeanum",""
"Macrolobium exfoliatum",""
"Macrolobium extensum",""
"Macrolobium flexuosum",""
"Macrolobium furcatum",""
"Macrolobium gracile","Zapatillo; Guayabo arrayán"
"Macrolobium guianense",""
"Macrolobium hartshornii",""
"Macrolobium herrerae",""
"Macrolobium huberianum",""
"Macrolobium inaequale",""
"Macrolobium ischnocalyx",""
"Macrolobium latifolium",""
"Macrolobium limbatum",""
"Macrolobium longeracemosum",""
"Macrolobium longipedicellatum",""
"Macrolobium longipes",""
"Macrolobium longiracemosum",""
"Macrolobium machaerioides",""
"Macrolobium microcalyx",""
"Macrolobium modicopetalum",""
"Macrolobium molle",""
"Macrolobium montanum",""
"Macrolobium multijugum","Arepito; Koo-ma-rho | Pa-am | pa-am\\; Alcornoco | Arepillo | Arepito | Arepito dulce | Arepito negro | Arepito rebalsero"
"Macrolobium obtusum",""
"Macrolobium pendulum",""
"Macrolobium pittieri","Guasca"
"Macrolobium prancei",""
"Macrolobium punctatum",""
"Macrolobium rigidum",""
"Macrolobium rubrum",""
"Macrolobium schinifolium",""
"Macrolobium spectabile",""
"Macrolobium stenocladum",""
"Macrolobium stenosiphon",""
"Macrolobium suaveolens",""
"Macrolobium taxifolium",""
"Macrolobium taylorii",""
"Macrolobium trinitense",""
"Macrolobium unifoliolatum",""
"Macrolobium urupaense",""
"Macrolobium venulosum",""
"Macrolobium wurdackii",""
"Macropanax chienii",""
"Macropanax concinnus",""
"Macropanax decandrus",""
"Macropanax dispermus",""
"Macropanax maingayi",""
"Macropanax paucinervis",""
"Macropanax rosthornii",""
"Macropanax undulatus",""
"Macropeplus dentatus",""
"Macropeplus friburgensis",""
"Macropeplus ligustrinus",""
"Macropteranthes kekwickii","Bullwaddy"
"Macropteranthes montana","Bonewood"
"Macrosamanea amplissima",""
"Macrosamanea discolor",""
"Macrosamanea duckei",""
"Macrosamanea prancei",""
"Macrosamanea simabifolia",""
"Macrosamanea spruceana",""
"Macrosphyra brachystylis",""
"Macrothumia kuhlmannii",""
"Macrotorus utriculatus",""
"Madhuca alpina",""
"Madhuca barbata",""
"Madhuca betis",""
"Madhuca boerlageana",""
"Madhuca borneensis",""
"Madhuca brochidodroma",""
"Madhuca burckiana",""
"Madhuca butyrospermoides",""
"Madhuca cheongiana",""
"Madhuca cochinchinensis",""
"Madhuca coriacea",""
"Madhuca costulata",""
"Madhuca crassipes",""
"Madhuca cuneata",""
"Madhuca curtisii",""
"Madhuca daemonica",""
"Madhuca decipiens",""
"Madhuca dongnaiensis",""
"Madhuca dubardii",""
"Madhuca elliptica",""
"Madhuca elmeri",""
"Madhuca endertii",""
"Madhuca engkikiana",""
"Madhuca engleri",""
"Madhuca erythrophylla",""
"Madhuca firma",""
"Madhuca floribunda",""
"Madhuca fusca",""
"Madhuca glabrescens",""
"Madhuca hainanensis",""
"Madhuca hirtiflora",""
"Madhuca kingiana",""
"Madhuca korthalsii",""
"Madhuca kuchingensis",""
"Madhuca kunstleri",""
"Madhuca lancifolia",""
"Madhuca leucodermis",""
"Madhuca longifolia",""
"Madhuca macrophylla",""
"Madhuca malaccensis",""
"Madhuca microphylla",""
"Madhuca mindanaensis",""
"Madhuca montana",""
"Madhuca moonii",""
"Madhuca motleyana","Nyatoh | ketiau"
"Madhuca multiflora",""
"Madhuca multinervia",""
"Madhuca neriifolia",""
"Madhuca ochracea",""
"Madhuca orientalis",""
"Madhuca ovata",""
"Madhuca palembanica",""
"Madhuca pallida",""
"Madhuca pasquieri",""
"Madhuca penangiana",""
"Madhuca pierrei",""
"Madhuca primoplagensis",""
"Madhuca prolixa",""
"Madhuca pubicalyx",""
"Madhuca ridleyi",""
"Madhuca sandakanensis",""
"Madhuca sarawakensis",""
"Madhuca sepilokensis",""
"Madhuca sericea",""
"Madhuca sessilis",""
"Madhuca spectabilis",""
"Madhuca stipulacea",""
"Madhuca thorelii",""
"Madhuca tomentosa",""
"Madhuca tubulosa",""
"Madhuca utilis",""
"Madhuca vulpina",""
"Madhuca woodii",""
"Maerua angolensis","joutahi; tvulpojikpalg [moba]; Nheuze; Nhacanheze; Mumemeno; mtukuli (mwera); mwimachigulu(gogo); Mumemeno (sumbwe); Mrebandau (kiroba); ororoloi (masai); Kirakan; ududu kisazi (zaramo)"
"Maerua bussei",""
"Maerua cafra",""
"Maerua calantha",""
"Maerua crassifolia","mkulizo (gogo)"
"Maerua duchesnei",""
"Maerua elegans",""
"Maerua filiformis",""
"Maerua gilgii",""
"Maerua homblei",""
"Maerua juncea",""
"Maerua kirkii","Muntungu (Rangi); Msaka (Zigua); Mkangaraundi (Mwera)"
"Maerua nervosa",""
"Maerua prittwitzii",""
"Maerua racemulosa",""
"Maerua robynsii",""
"Maerua rosmarinoides",""
"Maerua schinzii",""
"Maerua siamensis",""
"Maerua triphylla","Ududu kisazi(Zaramo); Mumeneno(Zinza), Sansura-sangwa(sukuma); Mwinachigulu(Gogo); Idudu(Pare); Idudu(Luguru); Mniramira(Zigua); Muimachigulu(Kigogo); Mkunda ng'ombe (shamba); Msingiswa(Nguu), Orechasereko(Masai); Msempelele(Zaramo)"
"Maesa ambrymensis",""
"Maesa aneiteensis",""
"Maesa argentea",""
